Entry	Entry Name	Protein names	EC number
O22553	CHMO_BETVU	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
O52379	NAGG_RALSP	"Salicylate 5-hydroxylase, large oxygenase component (S5H large oxygenase component) (EC 1.14.13.172) (Salicylate 5-hydroxylase, oxygenase component NagG) (Salicylate 5-monooxygenase, hydroxylase large subunit)"	1.14.13.172
O52382	NDOB_RALSP	"Naphthalene 1,2-dioxygenase system, large oxygenase component (EC 1.14.12.12) (ISP NAP) (Naphthalene 1,2-dioxygenase ISP alpha) (Naphthalene 1,2-dioxygenase subunit alpha) (ND subunit alpha) (NDO subunit alpha)"	1.14.12.12
P0ABR5	HCAE_ECOLI	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
P0ABR7	CNTA_ECOLI	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
P37333	BPHA_PARXL	"Biphenyl dioxygenase subunit alpha (EC 1.14.12.18) (Biphenyl 2,3-dioxygenase)"	1.14.12.18
Q51601	CBDA_BURCE	"2-halobenzoate 1,2-dioxygenase large subunit (EC 1.14.12.13) (2-chlorobenzoate 1,2-dioxygenase)"	1.14.12.13
Q84BZ3	ANDAC_BURCE	"Anthranilate 1,2-dioxygenase large subunit (EC 1.14.12.1)"	1.14.12.1
Q9LKN0	CHMO_ATRHO	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A009GWW3	A0A009GWW3_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A009HKP4	A0A009HKP4_ACIB9	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A009HQB8	A0A009HQB8_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A009N509	A0A009N509_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A009QM60	A0A009QM60_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A009QN48	A0A009QN48_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A009TN85	A0A009TN85_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A010K8M8	A0A010K8M8_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A013TPA1	A0A013TPA1_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A013U0N1	A0A013U0N1_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A022J5N0	A0A022J5N0_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A024HID4	A0A024HID4_PSEKB	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A059ZPP5	A0A059ZPP5_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A062GIX2	A0A062GIX2_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A062I5P0	A0A062I5P0_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A072CVD1	A0A072CVD1_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A077FEN8	A0A077FEN8_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A077KYA0	A0A077KYA0_ACIGI	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A080IUM8	A0A080IUM8_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A080IZE3	A0A080IZE3_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A081S0T1	A0A081S0T1_PHOTE	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A087L0P5	A0A087L0P5_9GAMM	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A088UL82	A0A088UL82_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A090NLN5	A0A090NLN5_SHIDY	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0A0FBS2	A0A0A0FBS2_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0A0FHR9	A0A0A0FHR9_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0A1A641	A0A0A1A641_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0A1AD70	A0A0A1AD70_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0A7XL97	A0A0A7XL97_ACINO	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0A8TL50	A0A0A8TL50_ACIBZ	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0B0KPV3	A0A0B0KPV3_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0B0VTE8	A0A0B0VTE8_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0B7G8U8	A0A0B7G8U8_KLEVA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0C5S5C4	A0A0C5S5C4_PSEPU	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0D1M7N6	A0A0D1M7N6_PSEPU	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0D1ZK14	A0A0D1ZK14_9EURO	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A0D2HSU8	A0A0D2HSU8_XYLBA	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A0D7LNC5	A0A0D7LNC5_CITFR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0D8W5C5	A0A0D8W5C5_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0E0XXE6	A0A0E0XXE6_ECO1C	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0E0XZT1	A0A0E0XZT1_ECO1C	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0E1CG94	A0A0E1CG94_KLEPN	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0E1M086	A0A0E1M086_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0E1M2S9	A0A0E1M2S9_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0E1NSE6	A0A0E1NSE6_YERPA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0E1PW38	A0A0E1PW38_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0E1T3Q1	A0A0E1T3Q1_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0E2GP66	A0A0E2GP66_ACINO	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0E8XH79	A0A0E8XH79_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0F0FVU7	A0A0F0FVU7_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0F3KB91	A0A0F3KB91_9NEIS	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0F3SDE1	A0A0F3SDE1_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0F3WMJ2	A0A0F3WMJ2_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0F7HC06	A0A0F7HC06_SERFO	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0F7LTT8	A0A0F7LTT8_9GAMM	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0F7XZS8	A0A0F7XZS8_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0G3SQ32	A0A0G3SQ32_SERMA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0H0PZB8	A0A0H0PZB8_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0H2W5P6	A0A0H2W5P6_YERPE	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0H3B3S1	A0A0H3B3S1_YERPY	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0H3FR27	A0A0H3FR27_KLEAK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0H3GV80	A0A0H3GV80_KLEPH	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0H3KQ26	A0A0H3KQ26_BURM1	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0H3MJF0	A0A0H3MJF0_ECO7I	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0H3MPE0	A0A0H3MPE0_ECO7I	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0H3PL50	A0A0H3PL50_ECO5C	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0H7IXT1	A0A0H7IXT1_SHISO	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0I9MH31	A0A0I9MH31_SHISO	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0J1A032	A0A0J1A032_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0J1LWP6	A0A0J1LWP6_9ENTR	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0J1NGJ4	A0A0J1NGJ4_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0J2EIQ8	A0A0J2EIQ8_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0J5FNC4	A0A0J5FNC4_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0J5PLH4	A0A0J5PLH4_ASPFM	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A0J6IH19	A0A0J6IH19_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0J6K9B5	A0A0J6K9B5_9NEIS	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0J6NKR6	A0A0J6NKR6_9NEIS	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0K3HWZ4	A0A0K3HWZ4_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0K4LEQ5	A0A0K4LEQ5_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0K9T7R4	A0A0K9T7R4_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0L6Y6N8	A0A0L6Y6N8_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0L7AEG3	A0A0L7AEG3_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0M3CZW0	A0A0M3CZW0_PSEPU	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0P8KHJ0	A0A0P8KHJ0_CITFR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A0Q7FKD9	A0A0Q7FKD9_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0R0RQN1	A0A0R0RQN1_ACIPI	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0S7DN12	A0A0S7DN12_9EURO	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A0S7E4A3	A0A0S7E4A3_9EURO	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A0T9MA14	A0A0T9MA14_YERPU	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0T9Q5E0	A0A0T9Q5E0_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0U1LKA1	A0A0U1LKA1_TALIS	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A0U1LTN4	A0A0U1LTN4_TALIS	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A0U1R0K9	A0A0U1R0K9_YERP3	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0V8SQD5	A0A0V8SQD5_PSESD	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A0V9LP19	A0A0V9LP19_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A126S3N1	A0A126S3N1_PSEPU	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A127I181	A0A127I181_PSEAZ	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A127MVG4	A0A127MVG4_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A132EI90	A0A132EI90_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A132EWP9	A0A132EWP9_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A140N5A8	A0A140N5A8_ECOBD	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A140NAZ6	A0A140NAZ6_ECOBD	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A140NJT4	A0A140NJT4_PROSM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A142JR79	A0A142JR79_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A143IWX7	A0A143IWX7_ACIPI	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A151YTB5	A0A151YTB5_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A152XK03	A0A152XK03_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A158LRZ3	A0A158LRZ3_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A161ZWG7	A0A161ZWG7_DAUCS	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A164K3H9	A0A164K3H9_9ENTR	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A166RVM2	A0A166RVM2_METRR	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A177F633	A0A177F633_9EURO	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A178CBD1	A0A178CBD1_9EURO	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A178D3F5	A0A178D3F5_9EURO	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A178ZF72	A0A178ZF72_9EURO	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A193LVR8	A0A193LVR8_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A1A0GGG3	A0A1A0GGG3_ACICA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1A5CYI2	A0A1A5CYI2_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1A9K9T3	A0A1A9K9T3_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1B2F5U7	A0A1B2F5U7_PSEPU	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1B7JQI0	A0A1B7JQI0_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1B7K4N8	A0A1B7K4N8_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A1B8TNC1	A0A1B8TNC1_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1B8V9I0	A0A1B8V9I0_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1C2TY40	A0A1C2TY40_ACIPI	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1C3CXC1	A0A1C3CXC1_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1C6LXW4	A0A1C6LXW4_9NEIS	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1C7W3R2	A0A1C7W3R2_9GAMM	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A1D9H7T1	A0A1D9H7T1_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1E4QY68	A0A1E4QY68_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1F1Q1U5	A0A1F1Q1U5_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1F2LQ95	A0A1F2LQ95_9ENTR	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1F8A4H6	A0A1F8A4H6_9EURO	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A1G5PS60	A0A1G5PS60_PHOLU	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A1G6YSW4	A0A1G6YSW4_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1H0FGY7	A0A1H0FGY7_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1H1DTY3	A0A1H1DTY3_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1H1URA8	A0A1H1URA8_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1H2NP79	A0A1H2NP79_PSEVA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1H9JDB5	A0A1H9JDB5_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1I3KRK4	A0A1I3KRK4_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1I4Y4T0	A0A1I4Y4T0_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A1J0E315	A0A1J0E315_PRORE	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
